alacritty 0.15.1-1
alsa-utils 1.2.14-1
amd-ucode 20250408.c1a774f3-1
android-file-transfer 4.4-1
arandr 0.1.11-4
base 3-2
base-devel 1-2
blueman 2.4.4-1
bluez 5.82-1
bluez-utils 5.82-1
brightnessctl 0.5.1-3
ccat 1.1.0-4
code 1.99.3-1
dunst 1.12.2-1
efibootmgr 18-3
eza 0.21.2-1
feh 3.10.3-1
ffmpeg4.4 4.4.5-5
fish 4.0.2-1
flameshot 12.1.0-6
git 2.49.0-1
gnome-disk-utility 46.1-2
grub 2:2.12.r283.ga4da71da-1
gvfs 1.57.2-3
gvfs-gphoto2 1.57.2-3
imv 4.5.0-5
kio-extras 25.04.0-1
linux 6.14.4.arch1-2
linux-firmware 20250408.c1a774f3-1
lxappearance 0.6.4-1
nano 8.4-1
neovim 0.11.1-2
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
ntfs-3g 2022.10.3-2
pavucontrol 1:6.1-1
picom 12.5-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
python-dbus-fast 2.44.1-1
python-dbus-next 0.2.3-6
python-psutil 7.0.0-1
python-pulsectl-asyncio 1.2.2-1
qtile 0.31.0-1
qtile-extras 0.31.0-1
rofi 1.7.8-2
sddm 0.21.0-6
sof-firmware 2025.01.1-1
spotify 1:1.2.60.564-2
spotube 4.0.2-1
sudo 1.9.16.p2-2
thunar 4.20.2-1
udiskie 2.5.7-1
unzip 6.0-22
virtualbox 7.1.8-2
virtualbox-guest-utils 7.1.8-2
virtualbox-host-modules-arch 7.1.8-4
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.16-1
xorg-server-common 21.1.16-1
xorg-server-devel 21.1.16-1
xorg-server-xephyr 21.1.16-1
xorg-server-xnest 21.1.16-1
xorg-server-xvfb 21.1.16-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.6-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xterm 398-1
yay 12.5.0-1
yay-debug 12.5.0-1
zen-browser-bin 1.11.5b-1
zenity 4.1.90-1
zip 3.0-11
